ano_mes_dia,hor_min_seg,Lat.,Lng.,e,f,g,h
20230218,01:17:51.3824331,-21.2171,-46.3202,0.0,1,9.6,0.055
20230218,01:19:14.0136243,-21.4934,-46.2843,0.0,1,13.3,0.18
20230218,01:19:37.6241435,-20.9954,-45.9388,0.0,1,-11.0,1.284
20230218,01:19:37.7989801,-20.9622,-45.9538,0.0,1,31.8,0.602
20230218,01:20:05.0148360,-20.4392,-45.5221,0.0,1,-16.4,0.284
20230218,01:20:33.9567303,-20.5201,-45.7157,0.0,1,-11.2,0.841
20230218,01:20:33.9600680,-20.5121,-45.7115,0.0,1,-104.7,0.565
20230218,01:20:33.9919710,-20.5124,-45.7115,0.0,1,-30.4,0.601
20230218,01:20:34.0128655,-20.5099,-45.7095,0.0,1,-12.5,1.068
20230218,01:20:44.0015856,-21.1822,-45.932,0.0,1,13.0,1.122
20230218,01:20:47.7869911,-21.3312,-46.5309,10.6,2,7.0,0.019
20230218,01:21:09.8784325,-24.3023,-46.1923,0.0,1,-17.3,0.296
20230218,01:21:22.2948282,-24.2203,-46.2423,7.0,2,18.1,0.234
20230218,01:21:42.1489101,-21.469,-46.4567,0.0,1,8.2,0.291
20230218,01:21:45.8639552,-21.1951,-46.3362,0.0,1,-19.9,0.691
20230218,01:21:45.8839046,-21.2031,-46.3329,0.0,1,19.6,0.233
20230218,01:21:46.1189758,-21.1786,-46.2026,0.0,1,-28.1,0.597
20230218,01:21:58.7935247,-21.2953,-46.4315,0.0,1,20.4,0.233
20230218,01:22:01.2676150,-21.1486,-45.8711,0.0,1,13.6,1.035
20230218,01:22:01.3656154,-21.1532,-45.8758,0.0,1,-14.8,0.791
20230218,01:23:41.6916239,-20.5207,-45.7204,0.0,1,-15.4,0.543
20230218,01:23:49.3062933,-20.7688,-45.7018,0.0,1,13.1,0.472
20230218,01:23:57.8118853,-21.2096,-46.3424,0.0,1,-17.3,0.578
20230218,01:24:35.4034143,-21.1575,-45.8832,0.0,1,23.0,0.777
20230218,01:24:35.4196053,-21.1576,-45.8708,0.0,1,-26.6,0.708
20230218,01:24:56.9000223,-20.4948,-45.7193,8.6,2,14.7,0.202
20230218,01:25:38.9318318,-20.6387,-45.7133,0.0,1,-67.9,0.715
20230218,01:25:38.9964762,-20.6389,-45.7112,0.0,1,-36.6,0.752
20230218,01:25:39.0444095,-20.6375,-45.7093,0.0,1,-13.4,0.759
